
     LAST NAME           FIRST NAME           REGION                     YEARLY SALES                    COMMISSION EARNED

     ---------           ----------           ------                     ------------                    -----------------

     FISHER              PEGGY                SOUTH                      $     85,000                    $      4,250.00
     SMITH               JOE                  NORTH                      $     76,000                    $      3,800.00
     MOUSE               MICKEY               WEST                       $    100,000                    $      5,000.00
     GATES               TERRY                SOUTH                      $     90,000                    $      4,500.00
     SHILLINGS           PATTI                NORTH                      $    123,000                    $      6,150.00
     CAI                 GUORAI               EAST                       $     55,000                    $      2,750.00
     KHALIL              ZAHRA                WEST                       $    125,000                    $      6,250.00
     ANDERSON            LILA                 SOUTH                      $     90,400                    $      4,520.00
     HOPKE               JOAN                 NORTH                      $      9,500                    $        475.00
     YOUNG               REGINA               NORTH                      $    125,000                    $      6,250.00
     RYOO                JUNGWOO              EAST                       $    900,500                    $     45,025.00
                                                            TOTAL SALES  $  1,779,400   TOTAL COMMISSION $     88,970.00
